frame,keypoint_group,angle_student,angle_master
3,12,90.0,90.0
3,13,90.0,90.0
3,14,90.0,90.0
3,15,90.0,90.0
3,16,90.0,90.0
3,17,90.0,90.0
3,18,90.0,90.0
3,19,90.0,90.0
3,20,90.0,90.0
3,21,90.0,90.0
3,22,90.0,90.0
3,23,90.0,90.0
3,24,90.0,90.0
3,25,90.0,90.0
3,26,90.0,90.0
3,27,90.0,90.0
4,0,90.0,90.0
4,1,90.0,90.0
4,2,90.0,90.0
4,3,90.0,90.0
4,4,90.0,90.0
4,5,90.0,90.0
4,6,90.0,90.0
4,7,90.0,90.0
4,8,90.0,90.0
4,9,90.0,90.0
4,10,90.0,90.0
4,11,90.0,90.0
4,12,90.0,90.0
4,13,90.0,90.0
4,14,90.0,90.0
4,15,90.0,90.0
4,16,90.0,90.0
4,17,90.0,90.0
4,18,90.0,90.0
4,19,90.0,90.0
4,20,90.0,90.0
4,21,90.0,90.0
4,22,90.0,90.0
4,23,90.0,90.0
4,24,90.0,90.0
4,25,90.0,90.0
4,26,90.0,90.0
4,27,90.0,90.0
5,0,90.0,90.0
5,1,90.0,90.0
5,2,90.0,90.0
5,3,90.0,90.0
5,4,90.0,90.0
5,5,90.0,90.0
5,6,90.0,90.0
5,7,90.0,90.0
5,8,90.0,90.0
5,9,90.0,90.0
5,10,90.0,90.0
5,11,90.0,90.0
5,12,90.0,90.0
5,13,90.0,90.0
5,14,90.0,90.0
5,15,90.0,90.0
5,16,90.0,90.0
5,17,90.0,90.0
5,18,90.0,90.0
5,19,90.0,90.0
5,20,90.0,90.0
5,21,90.0,90.0
5,22,90.0,90.0
5,23,90.0,90.0
5,24,90.0,90.0
5,25,90.0,90.0
5,26,90.0,90.0
5,27,90.0,90.0
6,0,90.0,90.0
6,1,90.0,90.0
6,2,90.0,90.0
6,3,90.0,90.0
6,4,90.0,90.0
6,5,90.0,90.0
6,6,90.0,90.0
6,7,90.0,90.0
6,8,90.0,90.0
6,9,90.0,90.0
6,10,90.0,90.0
6,11,90.0,90.0
6,12,90.0,90.0
6,13,90.0,90.0
6,14,90.0,90.0
6,15,90.0,90.0
6,16,90.0,90.0
6,17,90.0,90.0
6,18,90.0,90.0
6,19,90.0,90.0
6,20,90.0,90.0
6,21,90.0,90.0
6,22,90.0,90.0
6,23,90.0,90.0
6,24,90.0,90.0
6,25,90.0,90.0
6,26,90.0,90.0
6,27,90.0,90.0
7,0,90.0,90.0
7,1,90.0,90.0
7,2,90.0,90.0
7,3,90.0,90.0
7,4,90.0,90.0
7,5,90.0,90.0
7,6,90.0,90.0
7,7,90.0,90.0
7,8,90.0,90.0
7,9,90.0,90.0
7,10,90.0,90.0
7,11,90.0,90.0
7,12,90.0,90.0
7,13,90.0,90.0
7,14,90.0,90.0
7,15,90.0,90.0
7,16,90.0,90.0
7,17,90.0,90.0
7,18,90.0,90.0
7,19,90.0,90.0
7,20,90.0,90.0
7,21,90.0,90.0
7,22,90.0,90.0
7,23,90.0,90.0
7,24,90.0,90.0
7,25,90.0,90.0
7,26,90.0,90.0
7,27,90.0,90.0
8,0,90.0,90.0
8,1,90.0,90.0
8,2,90.0,90.0
8,3,90.0,90.0
8,4,90.0,90.0
8,5,90.0,90.0
8,6,90.0,90.0
8,7,90.0,90.0
8,8,90.0,90.0
8,9,90.0,90.0
8,10,90.0,90.0
8,11,90.0,90.0
8,12,90.0,90.0
8,13,90.0,90.0
8,14,90.0,90.0
8,15,90.0,90.0
8,16,90.0,90.0
8,17,90.0,90.0
8,18,90.0,90.0
8,19,90.0,90.0
8,20,90.0,90.0
8,21,90.0,90.0
8,22,90.0,90.0
8,23,90.0,90.0
8,24,90.0,90.0
8,25,90.0,90.0
8,26,90.0,90.0
8,27,90.0,90.0
9,0,90.0,90.0
9,1,90.0,90.0
9,2,90.0,90.0
9,3,90.0,90.0
9,4,90.0,90.0
9,5,90.0,90.0
9,6,90.0,90.0
9,7,90.0,90.0
9,8,90.0,90.0
9,9,90.0,90.0
9,10,90.0,90.0
9,11,90.0,90.0
9,12,90.0,90.0
